Country,Prod
Albania,1913196.591
Austria,6013740.773
Belarus,5060623.591
Belgium,6697548.955
Bosnia and Herzegovina,1009691.136
Bulgaria,3364080.045
Croatia,1534617.091
Czechia,4759134.909
Denmark,8408755.5
Estonia,671792.9545
Finland,3088498
France,60491824.14
Germany,44906324.23
Greece,16083575
Hungary,6661016.864
Iceland,231916.1364
Ireland,6531979.273
Italy,39943412.86
Latvia,1062002
Lithuania,1747567.045
Luxembourg,258681.8636
Malta,121948.3636
Netherlands,10693715.95
North Macedonia,923646.4545
Norway,3264661.591
Poland,17783987.59
Portugal,5867410.091
Republic of Moldova,1281977.091
Romania,15179033.82
Russian Federation,66654677.55
Serbia,6819116.229
Slovakia,1767905.364
Slovenia,885241.4091
Spain,42808867.45
Sweden,3754288.091
Switzerland,6714255.182
Ukraine,22150466.5
United Kingdom of Great Britain and Northern Ireland,24670381.41